Dividends for VTSMX: 02/16/2016-02/15/2019
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/13/2016   0.216   213.904     46.20     51.66    0.894     214.798
09/12/2016   0.250   214.798     53.70     53.84    0.997     215.796
12/19/2016   0.336   215.796     72.51     56.62    1.281     217.076
03/23/2017   0.247   217.076     53.62     58.48    0.917     217.993
06/20/2017   0.266   217.993     57.99     60.76    0.954     218.947
09/21/2017   0.253   218.947     55.39     62.41    0.888     219.835
12/20/2017   0.310   219.835     68.15     66.77    1.021     220.856
03/21/2018   0.259   220.856     57.20     67.82    0.843     221.699
06/21/2018   0.276   221.699     61.19     69.22    0.884     222.583
09/27/2018   0.326   222.583     72.56     72.79    0.997     223.580
12/21/2018   0.332   223.580     74.23     59.75    1.242     224.822

Dividends for VFINX: 02/16/2016-02/15/2019
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/18/2016   0.962    57.042     54.87    188.97    0.290      57.332
06/20/2016   0.908    57.332     52.06    192.15    0.271      57.603
09/12/2016   0.852    57.603     49.08    199.17    0.246      57.850
12/21/2016   1.254    57.850     72.54    208.90    0.347      58.197
03/21/2017   0.961    58.197     55.93    216.27    0.259      58.455
06/22/2017   0.960    58.455     56.12    224.71    0.250      58.705
09/19/2017   1.129    58.705     66.28    231.32    0.287      58.992
12/22/2017   1.126    58.992     66.42    247.63    0.268      59.260
03/23/2018   1.028    59.260     60.92    238.91    0.255      59.515
06/27/2018   1.098    59.515     65.35    249.21    0.262      59.777
09/25/2018   1.150    59.777     68.74    269.18    0.255      60.032
12/14/2018   1.224    60.032     73.48    239.88    0.306      60.339

Dividends for VTSMX: 02/26/2007-12/18/2012
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/22/2007   0.130   284.091     36.93     36.35    1.016     285.107
09/21/2007   0.150   285.107     42.77     36.72    1.165     286.272
12/19/2007   0.182   286.272     52.10     34.93    1.492     287.763
03/24/2008   0.145   287.763     41.73     32.44    1.286     289.049
06/23/2008   0.146   289.049     42.20     32.20    1.311     290.360
09/23/2008   0.138   290.360     40.07     29.09    1.377     291.737
12/19/2008   0.157   291.737     45.80     21.37    2.143     293.881
03/24/2009   0.131   293.881     38.50     19.48    1.976     295.857
06/23/2009   0.104   295.857     30.77     21.83    1.409     297.267
09/23/2009   0.113   297.267     33.59     26.20    1.282     298.549
12/21/2009   0.167   298.549     49.86     27.37    1.822     300.370
03/24/2010   0.107   300.370     32.14     28.97    1.109     301.480
06/23/2010   0.124   301.480     37.38     27.11    1.379     302.859
09/23/2010   0.137   302.859     41.49     27.89    1.488     304.346
12/21/2010   0.162   304.346     49.30     31.50    1.565     305.912
03/24/2011   0.128   305.912     39.16     32.90    1.190     307.102
06/23/2011   0.128   307.102     39.31     32.34    1.215     308.317
09/22/2011   0.139   308.317     42.86     28.06    1.527     309.845
12/20/2011   0.167   309.845     51.74     30.89    1.675     311.520
03/23/2012   0.140   311.520     43.61     34.93    1.249     312.768
06/22/2012   0.158   312.768     49.42     33.17    1.490     314.258
09/21/2012   0.167   314.258     52.48     36.34    1.444     315.702

Dividends for VFINX: 02/26/2007-12/18/2012
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/22/2007   0.570    74.727     42.59    138.32    0.308      75.035
09/21/2007   0.620    75.035     46.52    140.49    0.331      75.366
12/21/2007   0.750    75.366     56.52    136.59    0.414      75.780
03/27/2008   0.600    75.780     45.47    122.02    0.373      76.153
06/26/2008   0.570    76.153     43.41    118.12    0.367      76.520
09/25/2008   0.635    76.520     48.59    111.27    0.437      76.957
12/26/2008   0.700    76.957     53.87     80.23    0.671      77.628
03/26/2009   0.528    77.628     40.99     76.64    0.535      78.163
06/23/2009   0.435    78.163     34.00     82.46    0.412      78.576
09/28/2009   0.482    78.576     37.87     97.98    0.387      78.962
12/28/2009   0.659    78.962     52.04    103.81    0.501      79.463
03/29/2010   0.437    79.463     34.73    108.07    0.321      79.785
06/28/2010   0.506    79.785     40.37     98.93    0.408      80.193
09/23/2010   0.529    80.193     42.42    103.52    0.410      80.603
12/23/2010   0.494    80.603     39.82    115.72    0.344      80.947
03/24/2011   0.505    80.947     40.88    120.59    0.339      81.286
06/23/2011   0.536    81.286     43.57    118.19    0.369      81.654
09/22/2011   0.554    81.654     45.24    103.97    0.435      82.089
12/22/2011   0.651    82.089     53.44    115.43    0.463      82.552
03/23/2012   0.536    82.552     44.25    128.69    0.344      82.896
06/22/2012   0.607    82.896     50.32    122.99    0.409      83.305
09/21/2012   0.651    83.305     54.23    134.57    0.403      83.708

Dividends for VTSMX: 09/15/2001-08/04/2008
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
12/21/2001   0.092   432.152     39.76     25.59    1.554     433.706
03/22/2002   0.070   433.706     30.36     25.92    1.171     434.877
06/21/2002   0.060   434.877     26.09     22.58    1.156     436.033
09/27/2002   0.070   436.033     30.52     18.94    1.612     437.644
12/20/2002   0.093   437.644     40.70     20.38    1.997     439.641
03/28/2003   0.070   439.641     30.77     19.69    1.563     441.204
06/20/2003   0.070   441.204     30.88     22.89    1.349     442.553
09/26/2003   0.080   442.553     35.40     23.21    1.525     444.079
12/19/2003   0.107   444.079     47.52     25.45    1.867     445.946
03/26/2004   0.080   445.946     35.68     26.09    1.367     447.313
06/25/2004   0.090   447.313     40.26     26.67    1.509     448.823
09/24/2004   0.090   448.823     40.39     26.11    1.547     450.370
12/23/2004   0.185   450.370     83.32     28.68    2.905     453.275
03/23/2005   0.100   453.275     45.33     27.78    1.632     454.907
06/24/2005   0.090   454.907     40.94     28.42    1.441     456.347
09/23/2005   0.130   456.347     59.33     29.12    2.037     458.384
12/23/2005   0.153   458.384     70.13     30.46    2.302     460.687
03/17/2006   0.120   460.687     55.28     31.57    1.751     462.438
06/23/2006   0.120   462.438     55.49     30.02    1.849     464.286
09/22/2006   0.120   464.286     55.71     31.50    1.769     466.055
12/21/2006   0.164   466.055     76.43     34.06    2.244     468.299
03/23/2007   0.140   468.299     65.56     34.75    1.887     470.186
06/22/2007   0.130   470.186     61.12     36.35    1.682     471.868
09/21/2007   0.150   471.868     70.78     36.72    1.928     473.795
12/19/2007   0.182   473.795     86.23     34.93    2.469     476.264
03/24/2008   0.145   476.264     69.06     32.44    2.129     478.393
06/23/2008   0.146   478.393     69.85     32.20    2.169     480.562

Dividends for VFINX: 09/15/2001-08/04/2008
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
12/28/2001   0.385   104.004     40.04    107.08    0.374     104.378
03/22/2002   0.290   104.378     30.27    105.96    0.286     104.664
06/21/2002   0.300   104.664     31.40     91.22    0.344     105.008
09/27/2002   0.350   105.008     36.75     76.37    0.481     105.489
12/27/2002   0.420   105.489     44.31     80.73    0.549     106.038
03/28/2003   0.300   106.038     31.81     79.69    0.399     106.437
06/20/2003   0.300   106.437     31.93     91.94    0.347     106.785
09/26/2003   0.360   106.785     38.44     92.08    0.417     107.202
12/26/2003   0.470   107.202     50.38    101.15    0.498     107.700
03/26/2004   0.360   107.700     38.77    102.30    0.379     108.079
06/25/2004   0.350   108.079     37.83    104.78    0.361     108.440
09/24/2004   0.410   108.440     44.46    102.55    0.434     108.874
12/23/2004   0.830   108.874     90.37    111.45    0.811     109.685
03/23/2005   0.430   109.685     47.16    107.99    0.437     110.121
06/24/2005   0.420   110.121     46.25    109.80    0.421     110.543
09/23/2005   0.530   110.543     58.59    111.93    0.523     111.066
12/28/2005   0.600   111.066     66.64    115.82    0.575     111.641
03/17/2006   0.490   111.641     54.70    120.35    0.455     112.096
06/23/2006   0.480   112.096     53.81    114.60    0.470     112.565
09/22/2006   0.520   112.565     58.53    121.08    0.483     113.049
12/26/2006   0.650   113.049     73.48    130.43    0.563     113.612
03/23/2007   0.550   113.612     62.49    132.20    0.473     114.085
06/22/2007   0.570   114.085     65.03    138.32    0.470     114.555
09/21/2007   0.620   114.555     71.02    140.49    0.506     115.061
12/21/2007   0.750   115.061     86.30    136.59    0.632     115.692
03/27/2008   0.600   115.692     69.42    122.02    0.569     116.261
06/26/2008   0.570   116.261     66.27    118.12    0.561     116.822

Dividends for VTSMX: 11/24/2014-08/09/2018
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/24/2015   0.232   192.567     44.68     52.78    0.846     193.413
06/25/2015   0.214   193.413     41.39     53.07    0.780     194.193
09/24/2015   0.233   194.193     45.25     48.55    0.932     195.125
12/18/2015   0.268   195.125     52.29     49.81    1.050     196.175
03/14/2016   0.222   196.175     43.55     49.92    0.872     197.048
06/13/2016   0.216   197.048     42.56     51.66    0.824     197.871
09/12/2016   0.250   197.871     49.47     53.84    0.919     198.790
12/19/2016   0.336   198.790     66.79     56.62    1.180     199.970
03/23/2017   0.247   199.970     49.39     58.48    0.845     200.814
06/20/2017   0.266   200.814     53.42     60.76    0.879     201.694
09/21/2017   0.253   201.694     51.03     62.41    0.818     202.511
12/20/2017   0.310   202.511     62.78     66.77    0.940     203.451
03/21/2018   0.259   203.451     52.69     67.82    0.777     204.228
06/21/2018   0.276   204.228     56.37     69.22    0.814     205.043

Dividends for VFINX: 11/24/2014-08/09/2018
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/20/2015   0.934    52.219     48.77    194.32    0.251      52.470
06/19/2015   0.860    52.470     45.12    194.57    0.232      52.702
09/18/2015   0.911    52.702     48.01    180.57    0.266      52.968
12/18/2015   1.042    52.968     55.19    184.84    0.299      53.267
03/18/2016   0.962    53.267     51.24    188.97    0.271      53.538
06/20/2016   0.908    53.538     48.61    192.15    0.253      53.791
09/12/2016   0.852    53.791     45.83    199.17    0.230      54.021
12/21/2016   1.254    54.021     67.74    208.90    0.324      54.345
03/21/2017   0.961    54.345     52.23    216.27    0.241      54.587
06/22/2017   0.960    54.587     52.40    224.71    0.233      54.820
09/19/2017   1.129    54.820     61.89    231.32    0.268      55.088
12/22/2017   1.126    55.088     62.03    247.63    0.250      55.338
03/23/2018   1.028    55.338     56.89    238.91    0.238      55.576
06/27/2018   1.098    55.576     61.02    249.21    0.245      55.821

Dividends for VTSMX: 02/05/2011-12/28/2012
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/24/2011   0.128   301.932     38.65     32.90    1.175     303.107
06/23/2011   0.128   303.107     38.80     32.34    1.200     304.307
09/22/2011   0.139   304.307     42.30     28.06    1.507     305.814
12/20/2011   0.167   305.814     51.07     30.89    1.653     307.467
03/23/2012   0.140   307.467     43.05     34.93    1.232     308.700
06/22/2012   0.158   308.700     48.77     33.17    1.470     310.170
09/21/2012   0.167   310.170     51.80     36.34    1.425     311.596
12/19/2012   0.255   311.596     79.46     35.83    2.218     313.813

Dividends for VFINX: 02/05/2011-12/28/2012
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/24/2011   0.505    82.217     41.52    120.59    0.344      82.561
06/23/2011   0.536    82.561     44.25    118.19    0.374      82.935
09/22/2011   0.554    82.935     45.95    103.97    0.442      83.377
12/22/2011   0.651    83.377     54.28    115.43    0.470      83.847
03/23/2012   0.536    83.847     44.94    128.69    0.349      84.197
06/22/2012   0.607    84.197     51.11    122.99    0.416      84.612
09/21/2012   0.651    84.612     55.08    134.57    0.409      85.022
12/21/2012   0.905    85.022     76.94    131.69    0.584      85.606

Dividends for VTSMX: 10/30/2007-06/04/2017
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
12/19/2007   0.182   270.416     49.22     34.93    1.409     271.825
03/24/2008   0.145   271.825     39.41     32.44    1.215     273.040
06/23/2008   0.146   273.040     39.86     32.20    1.238     274.278
09/23/2008   0.138   274.278     37.85     29.09    1.301     275.580
12/19/2008   0.157   275.580     43.27     21.37    2.025     277.604
03/24/2009   0.131   277.604     36.37     19.48    1.867     279.471
06/23/2009   0.104   279.471     29.06     21.83    1.331     280.802
09/23/2009   0.113   280.802     31.73     26.20    1.211     282.014
12/21/2009   0.167   282.014     47.10     27.37    1.721     283.734
03/24/2010   0.107   283.734     30.36     28.97    1.048     284.782
06/23/2010   0.124   284.782     35.31     27.11    1.303     286.085
09/23/2010   0.137   286.085     39.19     27.89    1.405     287.490
12/21/2010   0.162   287.490     46.57     31.50    1.479     288.969
03/24/2011   0.128   288.969     36.99     32.90    1.124     290.093
06/23/2011   0.128   290.093     37.13     32.34    1.148     291.241
09/22/2011   0.139   291.241     40.48     28.06    1.443     292.684
12/20/2011   0.167   292.684     48.88     30.89    1.582     294.266
03/23/2012   0.140   294.266     41.20     34.93    1.179     295.446
06/22/2012   0.158   295.446     46.68     33.17    1.407     296.853
09/21/2012   0.167   296.853     49.57     36.34    1.364     298.217
12/19/2012   0.255   298.217     76.05     35.83    2.122     300.340
03/21/2013   0.166   300.340     49.86     38.81    1.285     301.624
06/21/2013   0.176   301.624     53.09     39.85    1.332     302.956
09/20/2013   0.196   302.956     59.38     43.18    1.375     304.331
12/19/2013   0.227   304.331     69.08     45.58    1.516     305.847
03/24/2014   0.192   305.847     58.72     47.08    1.247     307.094
06/23/2014   0.190   307.094     58.35     49.49    1.179     308.273
09/23/2014   0.211   308.273     65.05     49.58    1.312     309.585
12/22/2014   0.258   309.585     79.87     51.95    1.537     311.123
03/24/2015   0.232   311.123     72.18     52.78    1.368     312.490
06/25/2015   0.214   312.490     66.87     53.07    1.260     313.750
09/24/2015   0.233   313.750     73.10     48.55    1.506     315.256
12/18/2015   0.268   315.256     84.49     49.81    1.696     316.952
03/14/2016   0.222   316.952     70.36     49.92    1.410     318.362
06/13/2016   0.216   318.362     68.77     51.66    1.331     319.693
09/12/2016   0.250   319.693     79.92     53.84    1.484     321.178
12/19/2016   0.336   321.178    107.92     56.62    1.906     323.084
03/23/2017   0.247   323.084     79.80     58.48    1.365     324.448

Dividends for VFINX: 10/30/2007-06/04/2017
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
12/21/2007   0.750    70.857     53.14    136.59    0.389      71.246
03/27/2008   0.600    71.246     42.75    122.02    0.350      71.596
06/26/2008   0.570    71.596     40.81    118.12    0.345      71.942
09/25/2008   0.635    71.942     45.68    111.27    0.411      72.352
12/26/2008   0.700    72.352     50.65     80.23    0.631      72.983
03/26/2009   0.528    72.983     38.54     76.64    0.503      73.486
06/23/2009   0.435    73.486     31.97     82.46    0.388      73.874
09/28/2009   0.482    73.874     35.61     97.98    0.363      74.237
12/28/2009   0.659    74.237     48.92    103.81    0.471      74.709
03/29/2010   0.437    74.709     32.65    108.07    0.302      75.011
06/28/2010   0.506    75.011     37.96     98.93    0.384      75.394
09/23/2010   0.529    75.394     39.88    103.52    0.385      75.780
12/23/2010   0.494    75.780     37.44    115.72    0.323      76.103
03/24/2011   0.505    76.103     38.43    120.59    0.319      76.422
06/23/2011   0.536    76.422     40.96    118.19    0.347      76.768
09/22/2011   0.554    76.768     42.53    103.97    0.409      77.177
12/22/2011   0.651    77.177     50.24    115.43    0.435      77.613
03/23/2012   0.536    77.613     41.60    128.69    0.323      77.936
06/22/2012   0.607    77.936     47.31    122.99    0.385      78.321
09/21/2012   0.651    78.321     50.99    134.57    0.379      78.699
12/21/2012   0.905    78.699     71.22    131.69    0.541      79.240
03/21/2013   0.635    79.240     50.32    142.40    0.353      79.594
06/21/2013   0.697    79.594     55.48    146.72    0.378      79.972
09/20/2013   0.747    79.972     59.74    157.57    0.379      80.351
12/23/2013   0.869    80.351     69.82    168.42    0.415      80.765
03/21/2014   0.734    80.765     59.28    172.04    0.345      81.110
06/20/2014   0.762    81.110     61.81    181.01    0.341      81.451
09/19/2014   0.826    81.451     67.28    185.43    0.363      81.814
12/17/2014   0.981    81.814     80.26    185.53    0.433      82.247
03/20/2015   0.934    82.247     76.82    194.32    0.395      82.642
06/19/2015   0.860    82.642     71.07    194.57    0.365      83.008
09/18/2015   0.911    83.008     75.62    180.57    0.419      83.426
12/18/2015   1.042    83.426     86.93    184.84    0.470      83.897
03/18/2016   0.962    83.897     80.71    188.97    0.427      84.324
06/20/2016   0.908    84.324     76.57    192.15    0.398      84.722
09/12/2016   0.852    84.722     72.18    199.17    0.362      85.085
12/21/2016   1.254    85.085    106.70    208.90    0.511      85.595
03/21/2017   0.961    85.595     82.26    216.27    0.380      85.976

Dividends for VTSMX: 05/22/2013-01/03/2015
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/21/2013   0.176   240.848     42.39     39.85    1.064     241.911
09/20/2013   0.196   241.911     47.41     43.18    1.098     243.010
12/19/2013   0.227   243.010     55.16     45.58    1.210     244.220
03/24/2014   0.192   244.220     46.89     47.08    0.996     245.216
06/23/2014   0.190   245.216     46.59     49.49    0.941     246.157
09/23/2014   0.211   246.157     51.94     49.58    1.048     247.205
12/22/2014   0.258   247.205     63.78     51.95    1.228     248.432

Dividends for VFINX: 05/22/2013-01/03/2015
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/21/2013   0.697    65.355     45.55    146.72    0.310      65.666
09/20/2013   0.747    65.666     49.05    157.57    0.311      65.977
12/23/2013   0.869    65.977     57.33    168.42    0.340      66.317
03/21/2014   0.734    66.317     48.68    172.04    0.283      66.600
06/20/2014   0.762    66.600     50.75    181.01    0.280      66.881
09/19/2014   0.826    66.881     55.24    185.43    0.298      67.179
12/17/2014   0.981    67.179     65.90    185.53    0.355      67.534

Dividends for VTSMX: 02/08/2015-04/26/2017
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/24/2015   0.232   194.250     45.07     52.78    0.854     195.104
06/25/2015   0.214   195.104     41.75     53.07    0.787     195.891
09/24/2015   0.233   195.891     45.64     48.55    0.940     196.831
12/18/2015   0.268   196.831     52.75     49.81    1.059     197.890
03/14/2016   0.222   197.890     43.93     49.92    0.880     198.770
06/13/2016   0.216   198.770     42.93     51.66    0.831     199.601
09/12/2016   0.250   199.601     49.90     53.84    0.927     200.528
12/19/2016   0.336   200.528     67.38     56.62    1.190     201.718
03/23/2017   0.247   201.718     49.82     58.48    0.852     202.570

Dividends for VFINX: 02/08/2015-04/26/2017
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/20/2015   0.934    52.882     49.39    194.32    0.254      53.136
06/19/2015   0.860    53.136     45.70    194.57    0.235      53.371
09/18/2015   0.911    53.371     48.62    180.57    0.269      53.640
12/18/2015   1.042    53.640     55.89    184.84    0.302      53.943
03/18/2016   0.962    53.943     51.89    188.97    0.275      54.217
06/20/2016   0.908    54.217     49.23    192.15    0.256      54.474
09/12/2016   0.852    54.474     46.41    199.17    0.233      54.707
12/21/2016   1.254    54.707     68.60    208.90    0.328      55.035
03/21/2017   0.961    55.035     52.89    216.27    0.245      55.280

Dividends for VTSMX: 01/09/2004-06/02/2012
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/26/2004   0.080   380.084     30.41     26.09    1.165     381.249
06/25/2004   0.090   381.249     34.31     26.67    1.287     382.536
09/24/2004   0.090   382.536     34.43     26.11    1.319     383.854
12/23/2004   0.185   383.854     71.01     28.68    2.476     386.330
03/23/2005   0.100   386.330     38.63     27.78    1.391     387.721
06/24/2005   0.090   387.721     34.89     28.42    1.228     388.949
09/23/2005   0.130   388.949     50.56     29.12    1.736     390.685
12/23/2005   0.153   390.685     59.77     30.46    1.962     392.648
03/17/2006   0.120   392.648     47.12     31.57    1.492     394.140
06/23/2006   0.120   394.140     47.30     30.02    1.576     395.716
09/22/2006   0.120   395.716     47.49     31.50    1.507     397.223
12/21/2006   0.164   397.223     65.14     34.06    1.913     399.136
03/23/2007   0.140   399.136     55.88     34.75    1.608     400.744
06/22/2007   0.130   400.744     52.10     36.35    1.433     402.177
09/21/2007   0.150   402.177     60.33     36.72    1.643     403.820
12/19/2007   0.182   403.820     73.50     34.93    2.104     405.924
03/24/2008   0.145   405.924     58.86     32.44    1.814     407.738
06/23/2008   0.146   407.738     59.53     32.20    1.849     409.587
09/23/2008   0.138   409.587     56.52     29.09    1.943     411.530
12/19/2008   0.157   411.530     64.61     21.37    3.023     414.553
03/24/2009   0.131   414.553     54.31     19.48    2.788     417.341
06/23/2009   0.104   417.341     43.40     21.83    1.988     419.329
09/23/2009   0.113   419.329     47.38     26.20    1.809     421.138
12/21/2009   0.167   421.138     70.33     27.37    2.570     423.708
03/24/2010   0.107   423.708     45.34     28.97    1.565     425.273
06/23/2010   0.124   425.273     52.73     27.11    1.945     427.218
09/23/2010   0.137   427.218     58.53     27.89    2.099     429.316
12/21/2010   0.162   429.316     69.55     31.50    2.208     431.524
03/24/2011   0.128   431.524     55.24     32.90    1.679     433.203
06/23/2011   0.128   433.203     55.45     32.34    1.715     434.918
09/22/2011   0.139   434.918     60.45     28.06    2.154     437.072
12/20/2011   0.167   437.072     72.99     30.89    2.363     439.435
03/23/2012   0.140   439.435     61.52     34.93    1.761     441.196

Dividends for VFINX: 01/09/2004-06/02/2012
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
03/26/2004   0.360    96.497     34.74    102.30    0.340      96.837
06/25/2004   0.350    96.837     33.89    104.78    0.323      97.160
09/24/2004   0.410    97.160     39.84    102.55    0.388      97.549
12/23/2004   0.830    97.549     80.97    111.45    0.726      98.275
03/23/2005   0.430    98.275     42.26    107.99    0.391      98.666
06/24/2005   0.420    98.666     41.44    109.80    0.377      99.044
09/23/2005   0.530    99.044     52.49    111.93    0.469      99.513
12/28/2005   0.600    99.513     59.71    115.82    0.516     100.028
03/17/2006   0.490   100.028     49.01    120.35    0.407     100.436
06/23/2006   0.480   100.436     48.21    114.60    0.421     100.856
09/22/2006   0.520   100.856     52.45    121.08    0.433     101.289
12/26/2006   0.650   101.289     65.84    130.43    0.505     101.794
03/23/2007   0.550   101.794     55.99    132.20    0.424     102.218
06/22/2007   0.570   102.218     58.26    138.32    0.421     102.639
09/21/2007   0.620   102.639     63.64    140.49    0.453     103.092
12/21/2007   0.750   103.092     77.32    136.59    0.566     103.658
03/27/2008   0.600   103.658     62.19    122.02    0.510     104.168
06/26/2008   0.570   104.168     59.38    118.12    0.503     104.670
09/25/2008   0.635   104.670     66.47    111.27    0.597     105.268
12/26/2008   0.700   105.268     73.69     80.23    0.918     106.186
03/26/2009   0.528   106.186     56.07     76.64    0.732     106.918
06/23/2009   0.435   106.918     46.51     82.46    0.564     107.482
09/28/2009   0.482   107.482     51.81     97.98    0.529     108.010
12/28/2009   0.659   108.010     71.18    103.81    0.686     108.696
03/29/2010   0.437   108.696     47.50    108.07    0.440     109.136
06/28/2010   0.506   109.136     55.22     98.93    0.558     109.694
09/23/2010   0.529   109.694     58.03    103.52    0.561     110.254
12/23/2010   0.494   110.254     54.47    115.72    0.471     110.725
03/24/2011   0.505   110.725     55.92    120.59    0.464     111.189
06/23/2011   0.536   111.189     59.60    118.19    0.504     111.693
09/22/2011   0.554   111.693     61.88    103.97    0.595     112.288
12/22/2011   0.651   112.288     73.10    115.43    0.633     112.921
03/23/2012   0.536   112.921     60.53    128.69    0.470     113.392

Dividends for VTSMX: 06/13/2008-01/11/2014
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
09/23/2008   0.138   300.481     41.47     29.09    1.425     301.906
12/19/2008   0.157   301.906     47.40     21.37    2.218     304.124
03/24/2009   0.131   304.124     39.84     19.48    2.045     306.169
06/23/2009   0.104   306.169     31.84     21.83    1.459     307.628
09/23/2009   0.113   307.628     34.76     26.20    1.327     308.955
12/21/2009   0.167   308.955     51.60     27.37    1.885     310.840
03/24/2010   0.107   310.840     33.26     28.97    1.148     311.988
06/23/2010   0.124   311.988     38.69     27.11    1.427     313.415
09/23/2010   0.137   313.415     42.94     27.89    1.540     314.955
12/21/2010   0.162   314.955     51.02     31.50    1.620     316.574
03/24/2011   0.128   316.574     40.52     32.90    1.232     317.806
06/23/2011   0.128   317.806     40.68     32.34    1.258     319.064
09/22/2011   0.139   319.064     44.35     28.06    1.581     320.644
12/20/2011   0.167   320.644     53.55     30.89    1.733     322.378
03/23/2012   0.140   322.378     45.13     34.93    1.292     323.670
06/22/2012   0.158   323.670     51.14     33.17    1.542     325.212
09/21/2012   0.167   325.212     54.31     36.34    1.495     326.706
12/19/2012   0.255   326.706     83.31     35.83    2.325     329.031
03/21/2013   0.166   329.031     54.62     38.81    1.407     330.439
06/21/2013   0.176   330.439     58.16     39.85    1.459     331.898
09/20/2013   0.196   331.898     65.05     43.18    1.507     333.405
12/19/2013   0.227   333.405     75.68     45.58    1.660     335.065

Dividends for VFINX: 06/13/2008-01/11/2014
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
09/25/2008   0.635    79.542     50.51    111.27    0.454      79.996
12/26/2008   0.700    79.996     56.00     80.23    0.698      80.694
03/26/2009   0.528    80.694     42.61     76.64    0.556      81.250
06/23/2009   0.435    81.250     35.34     82.46    0.429      81.678
09/28/2009   0.482    81.678     39.37     97.98    0.402      82.080
12/28/2009   0.659    82.080     54.09    103.81    0.521      82.601
03/29/2010   0.437    82.601     36.10    108.07    0.334      82.935
06/28/2010   0.506    82.935     41.97     98.93    0.424      83.359
09/23/2010   0.529    83.359     44.10    103.52    0.426      83.785
12/23/2010   0.494    83.785     41.39    115.72    0.358      84.143
03/24/2011   0.505    84.143     42.49    120.59    0.352      84.495
06/23/2011   0.536    84.495     45.29    118.19    0.383      84.879
09/22/2011   0.554    84.879     47.02    103.97    0.452      85.331
12/22/2011   0.651    85.331     55.55    115.43    0.481      85.812
03/23/2012   0.536    85.812     46.00    128.69    0.357      86.169
06/22/2012   0.607    86.169     52.30    122.99    0.425      86.595
09/21/2012   0.651    86.595     56.37    134.57    0.419      87.014
12/21/2012   0.905    87.014     78.75    131.69    0.598      87.612
03/21/2013   0.635    87.612     55.63    142.40    0.391      88.002
06/21/2013   0.697    88.002     61.34    146.72    0.418      88.420
09/20/2013   0.747    88.420     66.05    157.57    0.419      88.840
12/23/2013   0.869    88.840     77.20    168.42    0.458      89.298

Dividends for VTSMX: 04/14/2012-01/29/2014
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/22/2012   0.158   292.312     46.19     33.17    1.392     293.705
09/21/2012   0.167   293.705     49.05     36.34    1.350     295.054
12/19/2012   0.255   295.054     75.24     35.83    2.100     297.154
03/21/2013   0.166   297.154     49.33     38.81    1.271     298.425
06/21/2013   0.176   298.425     52.52     39.85    1.318     299.743
09/20/2013   0.196   299.743     58.75     43.18    1.361     301.104
12/19/2013   0.227   301.104     68.35     45.58    1.500     302.603

Dividends for VFINX: 04/14/2012-01/29/2014
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
06/22/2012   0.607    79.177     48.06    122.99    0.391      79.567
09/21/2012   0.651    79.567     51.80    134.57    0.385      79.952
12/21/2012   0.905    79.952     72.36    131.69    0.549      80.502
03/21/2013   0.635    80.502     51.12    142.40    0.359      80.861
06/21/2013   0.697    80.861     56.36    146.72    0.384      81.245
09/20/2013   0.747    81.245     60.69    157.57    0.385      81.630
12/23/2013   0.869    81.630     70.94    168.42    0.421      82.051

Dividends for VTSMX: 08/03/2002-12/04/2015
Date      Dividend   Shares    Div Amt  Sh Price Purchased  New Sh Owned
09/27/2002   0.070   524.384     36.71     18.94    1.938     526.322
12/20/2002   0.093   526.322     48.95     20.38    2.402     528.724
03/28/2003   0.070   528.724     37.01     19.69    1.880     530.603
06/20/2003   0.070   530.603     37.14     22.89    1.623     532.226
09/26/2003   0.080   532.226     42.58     23.21    1.834     534.060
12/19/2003   0.107   534.060     57.14     25.45    2.245     536.306
03/26/2004   0.080   536.306     42.90     26.09    1.644     537.950
06/25/2004   0.090   537.950     48.42     26.67    1.815     539.766
