Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.970001,32.970001,32.970001,32.970001,23.759811,0
2000-01-04,31.670000,31.670000,31.670000,31.670000,22.822971,0
2000-01-05,31.690001,31.690001,31.690001,31.690001,22.837383,0
2000-01-06,31.590000,31.590000,31.590000,31.590000,22.765318,0
2000-01-07,32.470001,32.470001,32.470001,32.470001,23.399481,0
2000-01-10,33.020000,33.020000,33.020000,33.020000,23.795847,0
2000-01-11,32.509998,32.509998,32.509998,32.509998,23.428312,0
2000-01-12,32.290001,32.290001,32.290001,32.290001,23.269773,0
2000-01-13,32.790001,32.790001,32.790001,32.790001,23.630104,0
2000-01-14,33.180000,33.180000,33.180000,33.180000,23.911150,0
2000-01-18,33.099998,33.099998,33.099998,33.099998,23.853493,0
2000-01-19,33.230000,33.230000,33.230000,33.230000,23.947176,0
2000-01-20,33.150002,33.150002,33.150002,33.150002,23.889532,0
2000-01-21,33.200001,33.200001,33.200001,33.200001,23.925554,0
2000-01-24,32.330002,32.330002,32.330002,32.330002,23.298595,0
2000-01-25,32.500000,32.500000,32.500000,32.500000,23.421104,0
2000-01-26,32.369999,32.369999,32.369999,32.369999,23.327429,0
2000-01-27,32.230000,32.230000,32.230000,32.230000,23.226536,0
2000-01-28,31.320000,31.320000,31.320000,31.320000,22.570742,0
2000-01-31,31.830000,31.830000,31.830000,31.830000,22.938274,0
2000-02-01,32.230000,32.230000,32.230000,32.230000,23.226536,0
2000-02-02,32.290001,32.290001,32.290001,32.290001,23.269773,0
2000-02-03,32.750000,32.750000,32.750000,32.750000,23.601269,0
2000-02-04,32.759998,32.759998,32.759998,32.759998,23.608477,0
2000-02-07,32.860001,32.860001,32.860001,32.860001,23.680546,0
2000-02-08,33.270000,33.270000,33.270000,33.270000,23.976006,0
2000-02-09,32.660000,32.660000,32.660000,32.660000,23.536415,0
2000-02-10,32.860001,32.860001,32.860001,32.860001,23.680546,0
2000-02-11,32.270000,32.270000,32.270000,32.270000,23.255360,0
2000-02-14,32.360001,32.360001,32.360001,32.360001,23.320221,0
2000-02-15,32.570000,32.570000,32.570000,32.570000,23.471561,0
2000-02-16,32.380001,32.380001,32.380001,32.380001,23.334629,0
2000-02-17,32.529999,32.529999,32.529999,32.529999,23.442724,0
2000-02-18,31.670000,31.670000,31.670000,31.670000,22.822971,0
2000-02-22,31.719999,31.719999,31.719999,31.719999,22.859001,0
2000-02-23,32.080002,32.080002,32.080002,32.080002,23.118441,0
2000-02-24,32.070000,32.070000,32.070000,32.070000,23.111227,0
2000-02-25,31.740000,31.740000,31.740000,31.740000,22.873407,0
2000-02-28,32.009998,32.009998,32.009998,32.009998,23.067986,0
2000-02-29,32.639999,32.639999,32.639999,32.639999,23.521994,0
