Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,134.039993,134.039993,134.039993,134.039993,94.997047,0
2000-01-04,128.910004,128.910004,128.910004,128.910004,91.361305,0
2000-01-05,129.160004,129.160004,129.160004,129.160004,91.538483,0
2000-01-06,129.309998,129.309998,129.309998,129.309998,91.644783,0
2000-01-07,132.809998,132.809998,132.809998,132.809998,94.125328,0
2000-01-10,134.300003,134.300003,134.300003,134.300003,95.181290,0
2000-01-11,132.550003,132.550003,132.550003,132.550003,93.941048,0
2000-01-12,131.970001,131.970001,131.970001,131.970001,93.529991,0
2000-01-13,133.589996,133.589996,133.589996,133.589996,94.678116,0
2000-01-14,135.009995,135.009995,135.009995,135.009995,95.684486,0
2000-01-18,134.089996,134.089996,134.089996,134.089996,95.032455,0
2000-01-19,134.160004,134.160004,134.160004,134.160004,95.082092,0
2000-01-20,133.210007,133.210007,133.210007,133.210007,94.408791,0
2000-01-21,132.820007,132.820007,132.820007,132.820007,94.132416,0
2000-01-24,129.149994,129.149994,129.149994,129.149994,91.531364,0
2000-01-25,129.929993,129.929993,129.929993,129.929993,92.084206,0
2000-01-26,129.389999,129.389999,129.389999,129.389999,91.701454,0
2000-01-27,128.889999,128.889999,128.889999,128.889999,91.347130,0
2000-01-28,125.360001,125.360001,125.360001,125.360001,88.845314,0
2000-01-31,128.520004,128.520004,128.520004,128.520004,91.084869,0
2000-02-01,129.889999,129.889999,129.889999,129.889999,92.055840,0
2000-02-02,129.889999,129.889999,129.889999,129.889999,92.055840,0
2000-02-03,131.360001,131.360001,131.360001,131.360001,93.097694,0
2000-02-04,131.300003,131.300003,131.300003,131.300003,93.055161,0
2000-02-07,131.279999,131.279999,131.279999,131.279999,93.040962,0
2000-02-08,132.899994,132.899994,132.899994,132.899994,94.189117,0
2000-02-09,130.160004,130.160004,130.160004,130.160004,92.247223,0
2000-02-10,130.630005,130.630005,130.630005,130.630005,92.580299,0
2000-02-11,127.910004,127.910004,127.910004,127.910004,90.652611,0
2000-02-14,128.169998,128.169998,128.169998,128.169998,90.836853,0
2000-02-15,129.289993,129.289993,129.289993,129.289993,91.630585,0
2000-02-16,127.980003,127.980003,127.980003,127.980003,90.702187,0
2000-02-17,128.029999,128.029999,128.029999,128.029999,90.737625,0
2000-02-18,124.150002,124.150002,124.150002,124.150002,87.987785,0
2000-02-22,124.699997,124.699997,124.699997,124.699997,88.377548,0
2000-02-23,125.500000,125.500000,125.500000,125.500000,88.944557,0
2000-02-24,124.839996,124.839996,124.839996,124.839996,88.476761,0
2000-02-25,123.000000,123.000000,123.000000,123.000000,87.172768,0
2000-02-28,124.379997,124.379997,124.379997,124.379997,88.150818,0
2000-02-29,126.070000,126.070000,126.070000,126.070000,89.348518,0
2000-03-01,127.279999,127.279999,127.279999,127.279999,90.206085,0
2000-03-02,127.510002,127.510002,127.510002,127.510002,90.369110,0
2000-03-03,130.039993,130.039993,130.039993,130.039993,92.162148,0
2000-03-06,128.410004,128.410004,128.410004,128.410004,91.006927,0
2000-03-07,125.110001,125.110001,125.110001,125.110001,88.668144,0
2000-03-08,126.150002,126.150002,126.150002,126.150002,89.405235,0
2000-03-09,129.380005,129.380005,129.380005,129.380005,91.694405,0
2000-03-10,128.770004,128.770004,128.770004,128.770004,91.262047,0
2000-03-13,127.720001,127.720001,127.720001,127.720001,90.517914,0
2000-03-14,125.470001,125.470001,125.470001,125.470001,88.923294,0
2000-03-15,128.520004,128.520004,128.520004,128.520004,91.084869,0
